Date,Open,High,Low,Close,Volume
22-06-2016,1325,1338.849976,1315.880005,1333.819946,1761712
23-06-2016,1327.5,1329.75,1312.650024,1322.680054,1397014
24-06-2016,1282.569946,1296.599976,1257.069946,1286.969971,3766586
27-06-2016,1273.5,1273.5,1241.319946,1247.930054,4272566
28-06-2016,1247.930054,1251.449951,1229.199951,1231.969971,4499524
29-06-2016,1237.5,1256.25,1232.650024,1251.449951,2531264
30-06-2016,1261,1281.449951,1250.180054,1276.550049,5121812
01-07-2016,1281,1282.300049,1247.180054,1250.430054,2197296
04-07-2016,1258,1262.930054,1241,1247.099976,1883484
05-07-2016,1247.099976,1248.530029,1238.569946,1242.650024,1559748
07-07-2016,1243.849976,1245.930054,1212.5,1214.900024,3316800
08-07-2016,1217.5,1221.030029,1201.75,1213.300049,2456356
11-07-2016,1215,1235.900024,1213.5,1232.069946,1543632
12-07-2016,1235.849976,1237.5,1217.930054,1232.469971,1465536
13-07-2016,1239,1249.619995,1225.619995,1246.550049,2102300
14-07-2016,1243,1264.5,1235.5,1260.949951,2699988
15-07-2016,1258.5,1263.900024,1213.280029,1222.680054,8336366
18-07-2016,1223.5,1234.5,1215.300049,1216.719971,2598850
19-07-2016,1213.75,1236.400024,1213.75,1233.099976,2362896
20-07-2016,1225,1251.25,1224.069946,1247.469971,2815252
21-07-2016,1244.75,1259.75,1232.219971,1253.030029,2527148
22-07-2016,1249.449951,1262,1246,1257.550049,1517216
25-07-2016,1256,1281.599976,1252.900024,1279.469971,1688796
26-07-2016,1279.469971,1284,1266.5,1276.300049,2311290
27-07-2016,1277.5,1290.199951,1272.5,1288.780029,1750510
28-07-2016,1290.25,1314.780029,1288.530029,1309.619995,4632080
29-07-2016,1307,1317.449951,1299.5,1309.650024,2488084
01-08-2016,1316,1362.5,1316,1354.119995,3961704
02-08-2016,1351.449951,1357.849976,1344.900024,1349.599976,2578162
03-08-2016,1343,1349.5,1324.530029,1328.150024,2294702
04-08-2016,1335,1341.469971,1318.119995,1326,1415416
05-08-2016,1336.949951,1342.150024,1316,1324.550049,1868484
08-08-2016,1320,1334,1314.530029,1324.75,2058244
09-08-2016,1329,1329.900024,1289.430054,1325.099976,2261914
10-08-2016,1325.5,1341,1324,1337.699951,2062078
11-08-2016,1332.780029,1357.5,1332.780029,1354.949951,2233138
12-08-2016,1352.5,1372.400024,1351.030029,1369.219971,2327358
16-08-2016,1369,1370,1336.930054,1345.849976,3183754
17-08-2016,1349.5,1349.5,1309,1312.280029,1848566
18-08-2016,1317.5,1328.780029,1315.050049,1319.280029,1292064
19-08-2016,1320,1323.219971,1300,1301.75,2416244
22-08-2016,1294,1297.219971,1268.150024,1274.349976,2265274
23-08-2016,1272.469971,1302.469971,1270.099976,1300.530029,1503374
24-08-2016,1294.900024,1301,1284.530029,1286.030029,1116878
25-08-2016,1290,1294.849976,1263,1275.530029,1939690
26-08-2016,1279.900024,1286.280029,1258.599976,1262.469971,1250314
29-08-2016,1267.469971,1267.469971,1233.380005,1250.280029,1488728
30-08-2016,1255,1274.900024,1250.619995,1272.069946,1444026
31-08-2016,1275,1275,1250.430054,1255.650024,3231668
01-09-2016,1262.449951,1267.469971,1243.530029,1253.75,1345736
02-09-2016,1256,1259.699951,1248.030029,1257.400024,1742330
06-09-2016,1259.949951,1260.069946,1240,1242.030029,2239066
07-09-2016,1249.849976,1249.849976,1211.5,1220.280029,3854040
08-09-2016,1180,1180,1142.380005,1161.050049,7021516
09-09-2016,1164.849976,1183.319946,1160.030029,1176.219971,2742438
12-09-2016,1168.5,1181.969971,1162,1179.530029,2024454
14-09-2016,1181,1188.800049,1155,1164.219971,2069858
15-09-2016,1169.969971,1171.050049,1158.380005,1163.469971,2818964
16-09-2016,1168.349976,1188,1160,1180.849976,4358004
19-09-2016,1182.5,1213.5,1175,1205.719971,2802546
20-09-2016,1205.5,1208.449951,1192.699951,1203.25,1184552
21-09-2016,1203.849976,1212,1200.349976,1206.699951,1678020
22-09-2016,1212.619995,1214,1185.550049,1189,2857574
23-09-2016,1191,1201.930054,1185.569946,1199.050049,1800726
26-09-2016,1200.550049,1209.550049,1197.5,1200.550049,1753476
27-09-2016,1200.550049,1224,1200.550049,1218.050049,2038792
28-09-2016,1215.5,1218.75,1207.599976,1211.530029,1731328
29-09-2016,1217.5,1228.25,1209.800049,1218.900024,3603958
30-09-2016,1218.530029,1224.900024,1211.550049,1215.400024,2175364
03-10-2016,1225,1228.819946,1200.550049,1205.849976,1818880
04-10-2016,1210,1212.530029,1199,1202.569946,1780718
05-10-2016,1204,1207.699951,1188.050049,1193.180054,1176354
06-10-2016,1197.5,1201.199951,1186.380005,1194.380005,2267572
07-10-2016,1194,1194,1179.099976,1183.900024,1816512
10-10-2016,1184.949951,1193.449951,1177.530029,1190.150024,1202142
13-10-2016,1181.650024,1184.949951,1160.449951,1164.449951,5173334
14-10-2016,1157.5,1193.5,1145.5,1183.099976,7741214
17-10-2016,1184.449951,1187.900024,1172.199951,1181.219971,2728346
18-10-2016,1188,1207.849976,1177.400024,1200.099976,2128632
19-10-2016,1200.5,1205,1185.150024,1197.550049,1985058
20-10-2016,1198.449951,1204.680054,1193,1200.569946,1265854
